№ вопроса,Блок,Применимость,Исходный номер,Основной раздел,Вопрос,Ответ 1,Ответ 2,Ответ 3,Правильный вариант,Правильный ответ,Все группы вопроса,Примечание
11.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.11,Правовая подготовка,"Вред, причиненный в состоянии крайней необходимости:",Не подлежит возмещению.,"Во всех случаях подлежит возмещению в полном объеме лицом, причинившим вред.",Подлежит возмещению по решению суда.,3,Подлежит возмещению по решению суда.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
12.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.12,Правовая подготовка,"Причинение вреда, менее значительного, чем предотвращенный вред, является обязательным условием правомерности действий:",В состоянии необходимой обороны.,В состоянии крайней необходимости.,"Как в состоянии необходимой обороны, так и в состоянии крайней необходимости.",2,В состоянии крайней необходимости.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
13.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.13,Правовая подготовка,При необходимой обороне причинение посягающему лицу любого вреда правомерно:,В случае группового посягательства.,"Если это посягательство сопряжено с насилием, опасным для жизни обороняющегося или другого лица, либо с непосредственной угрозой применения такого насилия.","Если посягательство сопряжено с насилием, опасным для здоровья обороняющегося.",2,"Если это посягательство сопряжено с насилием, опасным для жизни обороняющегося или другого лица, либо с непосредственной угрозой применения такого насилия.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
14.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.14,Правовая подготовка,"Имеют ли право на необходимую оборону лица, имеющие возможность избежать общественно опасного посягательства или обратиться за помощью к другим лицам или органам власти?","Да, имеют.","Нет, не имеют.","Имеют, если посягательство сопряжено с насилием, опасным для жизни обороняющегося.",1,"Да, имеют.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
15.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.15,Правовая подготовка,"Подлежит ли возмещению вред, причиненный посягающему лицу в состоянии необходимой обороны, если при этом не было допущено превышения пределов необходимой обороны?","Да, подлежит.",Подлежит частично на основании судебного решения.,Не подлежит.,3,Не подлежит.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
16.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.16,Правовая подготовка,"Превышение мер, необходимых для задержания лица, совершившего преступление (их явное несоответствие характеру и степени общественной опасности совершенного задерживаемым лицом преступления и обстоятельствам задержания), влечет за собой уголовную ответственность:",Во всех случаях причинения вреда здоровью задерживаемого (независимо от наличия или отсутствия умысла).,"Только в случаях умышленного причинения смерти, тяжкого или средней тяжести вреда здоровью задерживаемого.","Только в случаях умышленного причинения смерти, тяжкого, средней тяжести или легкого вреда здоровью задерживаемого.",2,"Только в случаях умышленного причинения смерти, тяжкого или средней тяжести вреда здоровью задерживаемого.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Право / ответственность и санкции; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
17.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.17,Правовая подготовка,К уголовно наказуемым деяниям относится:,"Причинение тяжкого вреда здоровью по неосторожности, совершенное при превышении пределов необходимой обороны.","Умышленное причинение тяжкого вреда здоровью, совершенное при превышении пределов необходимой обороны.","Умышленное причинение средней тяжести вреда здоровью, совершенное при превышении пределов необходимой обороны.",2,"Умышленное причинение тяжкого вреда здоровью, совершенное при превышении пределов необходимой обороны.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / ответственность и санкции; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
18.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.18,Правовая подготовка,К уголовно наказуемым деяниям относится:,"Умышленное причинение тяжкого или средней тяжести вреда здоровью, совершенное при превышении мер, необходимых для задержания лица, совершившего преступление.","Причинение тяжкого или средней тяжести вреда здоровью по неосторожности, совершенное при превышении мер, необходимых для задержания лица, совершившего преступление.","Умышленное причинение легкого вреда здоровью, совершенное при превышении мер, необходимых для задержания лица, совершившего преступление.",1,"Умышленное причинение тяжкого или средней тяжести вреда здоровью, совершенное при превышении мер, необходимых для задержания лица, совершившего преступление.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / ответственность и санкции; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
19.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.19,Правовая подготовка,"Частный охранник, имеющий на посту огнестрельное оружие, выданное ему в охранной организации для осуществления охранных функций, применяет его: (5-6 разряд)","В случаях и в порядке, установленных статьями 16, 18 Закона Российской Федерации «О частной детективной и охранной деятельности в Российской Федерации».","В случаях и в порядке, установленных статьей 24 Федерального закона «Об оружии», на основаниях, общих для всех граждан Российской Федерации.","В случаях и в порядке, установленных статьями 37, 39 Уголовного кодекса Российской Федерации.",1,"В случаях и в порядке, установленных статьями 16, 18 Закона Российской Федерации «О частной детективной и охранной деятельности в Российской Федерации».","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
20.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.20,Правовая подготовка,"Частный охранник, имеющий на посту гражданское оружие, не являющееся огнестрельным, выданное ему в охранной организации для осуществления охранных функций, применяет его: (5-6 разряд)","В случаях и в порядке, установленных статьи 16, 18 Закона Российской Федерации «О частной детективной и охранной деятельности в Российской Федерации».","В случаях и в порядке, установленных статьей 24 Федерального закона «Об оружии», на основаниях, общих для всех граждан Российской Федерации.","В случаях и в порядке, установленных статьями 37, 39 Уголовного кодекса Российской Федерации.",2,"В случаях и в порядке, установленных статьей 24 Федерального закона «Об оружии», на основаниях, общих для всех граждан Российской Федерации.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
21.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.21,Правовая подготовка,Нарушение охранниками правил ношения оружия и патронов к нему влечет:,Уголовную ответственность.,Административную ответственность.,Уголовную и административную ответственность.,2,Административную ответственность.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
22.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.22,Правовая подготовка,"При отражении нападения на охранника, он вправе применить выданное ему в частной охранной организации огнестрельное оружие: (5-6 разряд)","Для отражения нападения, когда его собственная жизнь подвергается непосредственной опасности.","Для отражения нападения, когда его собственная жизнь или здоровье подвергаются опасности.",Для отражения любого нападения на охранника.,1,"Для отражения нападения, когда его собственная жизнь подвергается непосредственной опасности.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
23.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.23,Правовая подготовка,Кого и в какой срок в соответствии с законом охранник обязан информировать о каждом случае применения оружия? (5-6 разряд),Незамедлительно орган внутренних дел по месту применения оружия.,"Незамедлительно информировать орган внутренних дел и территориальный орган федерального органа исполнительной власти, уполномоченного в сфере частной охранной деятельности, по месту применения оружия.",Немедленно заказчика охранной услуги.,2,"Незамедлительно информировать орган внутренних дел и территориальный орган федерального органа исполнительной власти, уполномоченного в сфере частной охранной деятельности, по месту применения оружия.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Право / уведомления и действия после инцидента; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
24.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.24,Правовая подготовка,"Кого и в какой срок в соответствии с законом обязан уведомить частный охранник в случаях, когда при применении специальных средств и огнестрельного оружия граждане получили телесные повреждения?","Немедленно уведомить прокурора и в возможно короткий срок органы здравоохранения и внутренних дел, территориальный орган федерального органа исполнительной власти, уполномоченного в сфере частной охранной деятельности","Немедленно уведомить органы здравоохранения, орган внутренних дел и руководителя охранной организации.",Незамедлительно уведомить заказчика частной охранной услуги.,1,"Немедленно уведомить прокурора и в возможно короткий срок органы здравоохранения и внутренних дел, территориальный орган федерального органа исполнительной власти, уполномоченного в сфере частной охранной деятельности","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Право / уведомления и действия после инцидента; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
25.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.25,Правовая подготовка,"В каких случаях частному охраннику не запрещается применять специальные средства в отношении женщин с видимыми признаками беременности, лиц с явными признаками инвалидности и несовершеннолетних, возраст которых охраннику очевиден или известен?","В случае оказания ими вооруженного сопротивления, совершения группового либо иного нападения, угрожающего жизни и здоровью частного охранника или охраняемому имуществу.",В случаях оказания указанными лицами группового сопротивления.,В случае отказа нарушителя подчиниться требованию охранника проследовать в помещение охраны.,1,"В случае оказания ими вооруженного сопротивления, совершения группового либо иного нападения, угрожающего жизни и здоровью частного охранника или охраняемому имуществу.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
26.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.26,Правовая подготовка,Федеральным законом «О полиции» установлено следующее ограничение на применение специальных средств - не допускается нанесение человеку ударов палкой специальной:,"По рукам, ногам, ягодицам, по спине в области проекции почек и печени.","Только по голове, шее, ключичной области, животу.","По голове, шее, ключичной области, животу, половым органам, в область проекции сердца.",3,"По голове, шее, ключичной области, животу, половым органам, в область проекции сердца.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
